task,target,model,seed,rep,mae,r2,n_test
T3,dE_zx,ridge,3,2,2.3463991119488408,-0.1011497104447856,359
T3,dE_zx,lgbm,3,2,2.03845030187988,-0.06391217555239037,359
T3,dE_zx,dummy,3,2,2.1854014427039625,-0.0002945305544586052,358
T3,dE_zx,ridge,3,2,2.4942196966148087,-0.015134043465125702,358
T3,dE_zx,lgbm,3,2,2.2292972855944346,-0.02540422048403501,358
T3,dE_zx,dummy,3,2,1.9874497583559108,-0.0038494736767535898,358
T3,dE_zx,ridge,3,2,2.3344674750318877,-0.005048545135524218,358
T3,dE_zx,lgbm,3,2,2.020721029938191,-0.007269617020391861,358
T3,dE_zx,dummy,3,2,1.7510428049846978,-0.003374939032491975,358
T3,dE_zx,ridge,3,2,2.3080283714495544,-0.08216719735232858,358
T3,dE_zx,lgbm,3,2,1.8960435545690852,-0.009022103628081535,358
T3,dE_zx,dummy,3,2,3.072075885239923,-0.0011250325555005602,358
T3,dE_zx,ridge,3,2,3.1500297510973834,-0.0005650426622234583,358
T3,dE_zx,lgbm,3,2,3.1041279399018133,0.003258390547580148,358
T3,dE_zx,dummy,4,0,1.9426389049428083,-0.004587226729489302,359
T3,dE_zx,ridge,4,0,2.3331695046988,-0.0974218942735885,359
T3,dE_zx,lgbm,4,0,2.181109568250213,-0.1310353372910873,359
T3,dE_zx,dummy,4,0,2.185401442703963,-0.00029453055445838316,358
T3,dE_zx,ridge,4,0,2.4879121452599904,-0.01450436775007824,358
T3,dE_zx,lgbm,4,0,2.263100720135474,-0.030063065289269497,358
T3,dE_zx,dummy,4,0,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,4,0,2.324369664892627,-0.005067357756753932,358
T3,dE_zx,lgbm,4,0,2.205024778075087,-0.07905765089334071,358
T3,dE_zx,dummy,4,0,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,4,0,2.2886866478234427,-0.07849937730277512,358
T3,dE_zx,lgbm,4,0,2.0585104079704117,-0.10417341632177624,358
T3,dE_zx,dummy,4,0,3.072075885239923,-0.0011250325555007823,358
T3,dE_zx,ridge,4,0,3.1455993881576987,-0.0006250994955718792,358
T3,dE_zx,lgbm,4,0,3.193876571600845,0.013089944351907468,358
T3,dE_zx,dummy,4,1,1.9426389049428086,-0.004587226729489302,359
T3,dE_zx,ridge,4,1,2.3331695046988,-0.09742189427358894,359
T3,dE_zx,lgbm,4,1,2.1811095682502124,-0.13103533729108752,359
T3,dE_zx,dummy,4,1,2.1854014427039625,-0.0002945305544581611,358
T3,dE_zx,ridge,4,1,2.4879121452599913,-0.01450436775007824,358
T3,dE_zx,lgbm,4,1,2.263100720135474,-0.030063065289269497,358
T3,dE_zx,dummy,4,1,1.9874497583559108,-0.0038494736767533677,358
T3,dE_zx,ridge,4,1,2.324369664892627,-0.00506735775675371,358
T3,dE_zx,lgbm,4,1,2.205024778075087,-0.07905765089334071,358
T3,dE_zx,dummy,4,1,1.7510428049846978,-0.0033749390324917528,358
T3,dE_zx,ridge,4,1,2.2886866478234427,-0.07849937730277512,358
T3,dE_zx,lgbm,4,1,2.0585104079704117,-0.10417341632177624,358
T3,dE_zx,dummy,4,1,3.0720758852399226,-0.0011250325555007823,358
T3,dE_zx,ridge,4,1,3.1455993881576987,-0.0006250994955718792,358
T3,dE_zx,lgbm,4,1,3.193876571600845,0.013089944351907246,358
T3,dE_zx,dummy,4,2,1.9426389049428086,-0.004587226729489524,359
T3,dE_zx,ridge,4,2,2.3331695046988,-0.09742189427358872,359
T3,dE_zx,lgbm,4,2,2.1811095682502124,-0.13103533729108796,359
T3,dE_zx,dummy,4,2,2.185401442703963,-0.0002945305544581611,358
T3,dE_zx,ridge,4,2,2.487912145259991,-0.014504367750078462,358
T3,dE_zx,lgbm,4,2,2.263100720135474,-0.03006306528926972,358
