task,scenario,model,seed,f1_macro,mcc,n_test,mae_uB,r2
T4cls,LODO_twodmatpedia,logreg,2,0.6767882594951928,0.3767602201412977,4030,,
T4cls,LODO_twodmatpedia,lgbm,2,0.7293094789704959,0.46062052204997284,4030,,
T4reg,LODO_twodmatpedia,dummy,2,,,1141,0.3750834357916569,-0.04926791190478119
T4reg,LODO_twodmatpedia,ridge,2,,,1141,0.35675814880212836,-0.3001422873483852
T4reg,LODO_twodmatpedia,lgbm,2,,,1141,0.2610819361320373,0.11896756864550018
T4cls,LODO_twodmatpedia,dummy,3,0.5018106829365175,0.004135835766904399,4030,,
T4cls,LODO_twodmatpedia,logreg,3,0.6763495202279501,0.37604903274581997,4030,,
T4cls,LODO_twodmatpedia,lgbm,3,0.7256633717784127,0.45352243548972876,4030,,
T4reg,LODO_twodmatpedia,dummy,3,,,1141,0.3750834357916569,-0.04926791190478119
T4reg,LODO_twodmatpedia,ridge,3,,,1141,0.35675681479464205,-0.30005359843664214
T4reg,LODO_twodmatpedia,lgbm,3,,,1141,0.270031523099979,0.10576617127006682
T4cls,LODO_twodmatpedia,dummy,4,0.5018106829365175,0.004135835766904399,4030,,
T4cls,LODO_twodmatpedia,logreg,4,0.674372325687729,0.37238398770029146,4030,,
T4cls,LODO_twodmatpedia,lgbm,4,0.7275237710693616,0.4581950293632889,4030,,
T4reg,LODO_twodmatpedia,dummy,4,,,1141,0.3750834357916569,-0.04926791190478119
T4reg,LODO_twodmatpedia,ridge,4,,,1141,0.3567532558608568,-0.2997372472597133
T4reg,LODO_twodmatpedia,lgbm,4,,,1141,0.26274131053497285,0.12139877958582823
