task,scenario,model,seed,f1_macro,mcc,n_test
T4cls,indist_jarvis2d,logreg,1,0.6932173136992414,0.4139039340977215,220
T4cls,indist_jarvis2d,lgbm,1,0.8777777777777778,0.7571047621398433,220
T4cls,indist_jarvis2d,dummy,1,0.5116022099447514,0.024519932137770182,221
T4cls,indist_jarvis2d,logreg,1,0.7533817805721129,0.5391268435068488,221
T4cls,indist_jarvis2d,lgbm,1,0.8473756906077348,0.6980561471312088,221
T4cls,indist_jarvis2d,dummy,1,0.4831515831550896,-0.032889313168864294,220
T4cls,indist_jarvis2d,logreg,1,0.7879610969946552,0.593567477448258,220
T4cls,indist_jarvis2d,lgbm,1,0.9183287772940502,0.8367553189673362,220
T4cls,indist_jarvis2d,dummy,1,0.49633977900552484,-0.0067768453681957145,221
T4cls,indist_jarvis2d,logreg,1,0.7921735173669042,0.5922971916374931,221
T4cls,indist_jarvis2d,lgbm,1,0.8754578754578755,0.7545215453909763,221
T4cls,indist_jarvis2d,dummy,1,0.5573895027624309,0.11636577963687544,221
T4cls,indist_jarvis2d,logreg,1,0.7842097921606919,0.593407793417263,221
T4cls,indist_jarvis2d,lgbm,1,0.8744318181818183,0.7501583387420766,221
T4cls,indist_jarvis2d,dummy,2,0.4831515831550896,-0.032889313168864294,220
T4cls,indist_jarvis2d,logreg,2,0.7541176470588236,0.5230755195222947,220
T4cls,indist_jarvis2d,lgbm,2,0.8906379453189726,0.7813662061476685,220
T4cls,indist_jarvis2d,dummy,2,0.5140082050562783,0.02895383979823096,220
T4cls,indist_jarvis2d,logreg,2,0.8295454545454546,0.6603325448724197,220
T4cls,indist_jarvis2d,lgbm,2,0.9115981735159817,0.8324216836930485,220
T4cls,indist_jarvis2d,dummy,2,0.43529005524861875,-0.12855648036073858,221
T4cls,indist_jarvis2d,logreg,2,0.7562740404013234,0.5498856539146453,221
T4cls,indist_jarvis2d,lgbm,2,0.8490062111801242,0.7007249743635727,221
T4cls,indist_jarvis2d,dummy,2,0.5116022099447514,0.024519932137770182,221
T4cls,indist_jarvis2d,logreg,2,0.7138330991542001,0.45351025702898223,221
T4cls,indist_jarvis2d,lgbm,2,0.8376909518213866,0.690166941588613,221
T4cls,indist_jarvis2d,dummy,2,0.5116022099447514,0.023788110272033938,221
T4cls,indist_jarvis2d,logreg,2,0.7766172506738545,0.5806873040207988,221
T4cls,indist_jarvis2d,lgbm,2,0.861624649859944,0.7233351511589623,221
T4cls,indist_jarvis2d,dummy,3,0.49857989410568393,-0.001967736685316667,220
T4cls,indist_jarvis2d,logreg,3,0.7810945273631841,0.5877335604818159,220
T4cls,indist_jarvis2d,lgbm,3,0.906873758588128,0.8145543921190079,220
T4cls,indist_jarvis2d,dummy,3,0.43529005524861875,-0.1290366679291143,221
T4cls,indist_jarvis2d,logreg,3,0.7354349561053471,0.47086991221069435,221
T4cls,indist_jarvis2d,lgbm,3,0.8590797731315234,0.7182480249254451,221
T4cls,indist_jarvis2d,dummy,3,0.4677232722044953,-0.06381088965241191,220
T4cls,indist_jarvis2d,logreg,3,0.7020833333333334,0.4619942682159641,220
T4cls,indist_jarvis2d,lgbm,3,0.9117174959871589,0.8234349919743178,220
T4cls,indist_jarvis2d,dummy,3,0.49633977900552484,-0.006095350361931571,221
T4cls,indist_jarvis2d,logreg,3,0.7862426035502958,0.5914549997557995,221
T4cls,indist_jarvis2d,lgbm,3,0.8313896457765668,0.6747721857471198,221
T4cls,indist_jarvis2d,dummy,3,0.48107734806629837,-0.03671063286163333,221
T4cls,indist_jarvis2d,logreg,3,0.8186237373737374,0.6384245609075365,221
T4cls,indist_jarvis2d,lgbm,3,0.8672672672672672,0.7568695123132824,221
T4cls,indist_jarvis2d,dummy,4,0.49857989410568393,-0.001967736685316667,220
T4cls,indist_jarvis2d,logreg,4,0.7068575501224009,0.41832864618995164,220
T4cls,indist_jarvis2d,lgbm,4,0.7900683232184434,0.5970449531737808,220
T4cls,indist_jarvis2d,dummy,4,0.5421270718232044,0.08491802155249324,221
T4cls,indist_jarvis2d,logreg,4,0.7774420946626385,0.5945031525771103,221
T4cls,indist_jarvis2d,lgbm,4,0.9278155212960544,0.856006707780599,221
T4cls,indist_jarvis2d,dummy,4,0.4831515831550896,-0.032889313168864294,220
T4cls,indist_jarvis2d,logreg,4,0.7791164658634537,0.5905702474321148,220
T4cls,indist_jarvis2d,lgbm,4,0.9034794640747865,0.8070544202624614,220
