run_stamp,task,model,seed,repeat,fold,f1_macro,mcc,bal_acc,n_test
20260809-204550,T1,dummy_majority,4,0.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,4,1.0,3.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,4,0.0,4.0,0.3396226415094339,0.0,0.5,35.0
20260809-204550,T1,dummy_stratified,4,0.0,1.0,0.4920634920634921,0.020601266687222692,0.5098039215686274,32.0
20260809-204550,T1,dummy_majority,4,1.0,1.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,4,1.0,0.0,0.34,0.0,0.5,33.0
20260809-204550,T1,lgbm,4,0.0,4.0,0.6857142857142857,0.37254901960784315,0.6862745098039216,35.0
20260809-204550,T1,lgbm,4,0.0,3.0,0.6898496240601504,0.40105559244984246,0.6930147058823529,33.0
20260809-204550,T1,lgbm,4,0.0,2.0,0.5333333333333333,0.10881399260327249,0.5490196078431372,32.0
20260809-204550,T1,lgbm,4,0.0,1.0,0.6761133603238867,0.44831364952548264,0.7019607843137254,32.0
20260809-204550,T1,lgbm,4,0.0,0.0,0.4170040485829959,-0.13483997249264842,0.4375,32.0
20260809-204550,T1,logreg,4,0.0,4.0,0.6568627450980392,0.3137254901960784,0.6568627450980392,35.0
20260809-204550,T1,logreg,4,0.0,3.0,0.5925925925925926,0.21437323142813605,0.6011029411764706,33.0
20260809-204550,T1,logreg,4,0.0,2.0,0.6862745098039216,0.37254901960784315,0.6862745098039216,32.0
20260809-204550,T1,logreg,4,0.0,1.0,0.611336032388664,0.30903173899329384,0.6392156862745098,32.0
20260809-204550,T1,logreg,4,0.0,0.0,0.5270935960591133,0.06362847629757777,0.53125,32.0
20260809-204550,T1,dummy_stratified,4,0.0,4.0,0.4499586435070306,-0.08112739143148368,0.4607843137254902,35.0
20260809-204550,T1,dummy_stratified,4,0.0,3.0,0.3541472506989748,-0.27500954910846337,0.36764705882352944,33.0
20260809-204550,T1,dummy_stratified,4,0.0,2.0,0.4920634920634921,0.020601266687222692,0.5098039215686274,32.0
20260809-204550,T1,dummy_stratified,4,0.0,0.0,0.365079365079365,-0.2581988897471611,0.375,32.0
20260809-204550,T1,logreg,2,1.0,0.0,0.5454545454545454,0.09191176470588236,0.5459558823529411,33.0
20260809-204550,T1,lgbm,3,1.0,4.0,0.5,0.0,0.5,32.0
20260809-204550,T1,dummy_stratified,2,1.0,3.0,0.3541472506989748,-0.27500954910846337,0.36764705882352944,33.0
20260809-204550,T1,logreg,0,2.0,2.0,0.530791788856305,0.07100716024967263,0.5352941176470588,32.0
20260809-204550,T1,logreg,0,2.0,1.0,0.6001863932898416,0.22917462425705282,0.6102941176470589,33.0
20260809-204550,T1,logreg,0,2.0,0.0,0.542483660130719,0.08496732026143791,0.542483660130719,35.0
20260809-204550,T1,dummy_stratified,0,2.0,4.0,0.4423280423280423,-0.09139076937674137,0.45625,31.0
20260809-204550,T1,dummy_stratified,0,2.0,3.0,0.6616961789375583,0.3552206675984319,0.6709558823529411,33.0
20260809-204550,T1,dummy_stratified,0,2.0,2.0,0.4920634920634921,0.020601266687222692,0.5098039215686274,32.0
20260809-204550,T1,dummy_stratified,0,2.0,1.0,0.4771668219944082,-0.022917462425705283,0.48897058823529416,33.0
20260809-204550,T1,dummy_stratified,0,2.0,0.0,0.7394540942928041,0.5104265044230848,0.7467320261437909,35.0
20260809-204550,T1,dummy_majority,0,2.0,4.0,0.3404255319148936,0.0,0.5,31.0
20260809-204550,T1,dummy_majority,0,2.0,3.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,2.0,2.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,0,2.0,1.0,0.34,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,0,2.0,0.0,0.3396226415094339,0.0,0.5,35.0
20260809-204550,T1,lgbm,0,1.0,4.0,0.5333333333333333,0.10881399260327249,0.5490196078431372,32.0
20260809-204550,T1,lgbm,0,1.0,3.0,0.5814634146341464,0.22278319716975173,0.5992647058823529,33.0
20260809-204550,T1,logreg,0,2.0,3.0,0.5416666666666666,0.15863619125682069,0.5680147058823529,33.0
20260809-204550,T1,lgbm,0,1.0,2.0,0.7878787878787878,0.5772058823529411,0.7886029411764706,33.0
20260809-204550,T1,logreg,0,2.0,4.0,0.8012820512820513,0.6310315028394047,0.8020833333333333,31.0
20260809-204550,T1,lgbm,0,2.0,1.0,0.4260869565217391,0.09587062360592132,0.5275735294117647,33.0
20260809-204550,T1,logreg,1,0.0,1.0,0.5729468599033817,0.39148014634313566,0.6388888888888888,34.0
20260809-204550,T1,logreg,1,0.0,0.0,0.5753676470588236,0.15498260496951669,0.5772058823529411,33.0
20260809-204550,T1,dummy_stratified,1,0.0,4.0,0.4285714285714286,-0.11124684011100254,0.44705882352941173,32.0
20260809-204550,T1,dummy_stratified,1,0.0,3.0,0.5555555555555556,0.15244937348544793,0.5725490196078431,32.0
20260809-204550,T1,dummy_stratified,1,0.0,2.0,0.4156570363466915,-0.16169527510397522,0.4209558823529412,33.0
20260809-204550,T1,dummy_stratified,1,0.0,1.0,0.5228070175438597,0.07978559231302818,0.5381944444444444,34.0
20260809-204550,T1,dummy_stratified,1,0.0,0.0,0.3541472506989748,-0.27500954910846337,0.36764705882352944,33.0
20260809-204550,T1,dummy_majority,1,0.0,4.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,1,0.0,3.0,0.3469387755102041,0.0,0.5,32.0
20260809-204550,T1,dummy_majority,1,0.0,2.0,0.3265306122448979,0.0,0.5,33.0
20260809-204550,T1,dummy_majority,1,0.0,1.0,0.3461538461538461,0.0,0.5,34.0
20260809-204550,T1,dummy_majority,1,0.0,0.0,0.34,0.0,0.5,33.0
