task,model,seed,repeat,fold,f1_macro,mcc,bal_acc
T1,logreg_inversion_only,4,1,1,0.6421052631578947,0.3263956049169334,0.65625
T1,logreg_symmetry_block,4,1,1,0.3625,-0.014731391274719742,0.4965277777777778
T1,rule_inversion,4,1,2,0.4,-0.1088776457161647,0.4549019607843137
T1,logreg_inversion_only,4,1,2,0.4,-0.1088776457161647,0.4549019607843137
T1,logreg_symmetry_block,4,1,2,0.625,0.2549019607843137,0.6274509803921569
T1,rule_inversion,4,1,3,0.5479166666666666,0.09583333333333334,0.5479166666666666
T1,logreg_inversion_only,4,1,3,0.5479166666666666,0.09583333333333334,0.5479166666666666
T1,logreg_symmetry_block,4,1,3,0.5571428571428572,0.277407873365426,0.6020833333333333
T1,rule_inversion,4,1,4,0.46875,-0.05923488777590923,0.47058823529411764
T1,logreg_inversion_only,4,1,4,0.46875,-0.05923488777590923,0.47058823529411764
T1,logreg_symmetry_block,4,1,4,0.575,0.18860838403857946,0.588235294117647
T1,rule_inversion,4,2,0,0.75,0.5058823529411764,0.7529411764705882
T1,logreg_inversion_only,4,2,0,0.75,0.5058823529411764,0.7529411764705882
T1,logreg_symmetry_block,4,2,0,0.2727272727272727,-0.34240528516707336,0.4
T1,rule_inversion,4,2,1,0.6559139784946236,0.3234770633596198,0.6607843137254902
T1,logreg_inversion_only,4,2,1,0.6559139784946236,0.3234770633596198,0.6607843137254902
T1,logreg_symmetry_block,4,2,1,0.746031746031746,0.498071218278486,0.7450980392156863
T1,rule_inversion,4,2,2,0.23809523809523808,-0.5163977794943222,0.25
T1,logreg_inversion_only,4,2,2,0.23809523809523808,-0.5163977794943222,0.25
T1,logreg_symmetry_block,4,2,2,0.4181818181818182,0.0,0.5
T1,rule_inversion,4,2,3,0.49956709956709955,0.006980898471528258,0.5034722222222222
T1,logreg_inversion_only,4,2,3,0.49956709956709955,0.006980898471528258,0.5034722222222222
T1,logreg_symmetry_block,4,2,3,0.49607672188317353,-0.006980898471528258,0.4965277777777778
T1,rule_inversion,4,2,4,0.7235772357723578,0.5163977794943222,0.7352941176470589
T1,logreg_inversion_only,4,2,4,0.7235772357723578,0.5163977794943222,0.7352941176470589
T1,logreg_symmetry_block,4,2,4,0.7614035087719297,0.5447047794019222,0.7647058823529411
