feature,shap,coef,shap_rank,coef_rank
comp_minimum_NdUnfilled,0.0,0.0,135.5,136.0
comp_maximum_NdUnfilled,0.006504925460489058,0.04438175901700133,84.0,106.5
comp_range_NdUnfilled,0.003648820874286046,0.04438175901700133,96.0,106.5
comp_mean_NdUnfilled,0.05003583932066035,0.07851954805757669,48.0,51.0
comp_avg_dev_NdUnfilled,0.03986173867058398,0.059395314257504175,52.0,83.0
comp_mode_NdUnfilled,0.0,0.0,135.5,136.0
comp_minimum_NfUnfilled,0.0,0.0,135.5,136.0
comp_maximum_NfUnfilled,0.0,0.0,135.5,136.0
comp_range_NfUnfilled,0.0,0.0,135.5,136.0
comp_mean_NfUnfilled,0.0,0.0,135.5,136.0
comp_avg_dev_NfUnfilled,0.0,0.0,135.5,136.0
comp_mode_NfUnfilled,0.0,0.0,135.5,136.0
comp_minimum_NUnfilled,0.0010628068732429817,0.1142000225200332,106.0,24.0
comp_maximum_NUnfilled,0.00455554490400491,0.07848303137501651,92.0,52.0
comp_range_NUnfilled,0.010996303155751444,0.07352060994525303,78.0,57.0
comp_mean_NUnfilled,0.142726407700802,0.06045616533722956,24.0,78.0
comp_avg_dev_NUnfilled,0.15102864332192537,0.14461188677587772,22.0,10.0
comp_mode_NUnfilled,0.00028486159613249647,0.10958928030278829,116.0,29.0
comp_minimum_GSvolume_pa,0.10684286835513772,0.09716178513411432,33.0,42.0
comp_maximum_GSvolume_pa,0.01073391663755715,0.03723710901220873,79.0,119.0
comp_range_GSvolume_pa,0.13579915421031863,0.041248506256041276,26.0,114.0
comp_mean_GSvolume_pa,0.06815169841391719,0.03566945715033754,43.0,120.0
comp_avg_dev_GSvolume_pa,0.12464751788103798,0.06885815355960949,28.0,63.0
comp_mode_GSvolume_pa,0.004987810547583618,0.05366300904226493,90.0,90.0
comp_minimum_GSbandgap,0.0,0.0,135.5,136.0
comp_maximum_GSbandgap,0.05235452605135628,0.041468149708229936,47.0,112.5
comp_range_GSbandgap,0.011772230155089748,0.041468149708229936,76.0,112.5
comp_mean_GSbandgap,0.11431315775531005,0.11736417083084118,32.0,20.0
comp_avg_dev_GSbandgap,0.24102264462517603,0.17873846475427022,9.0,6.0
comp_mode_GSbandgap,0.01408644025621705,0.060007002490464076,72.0,80.0
comp_minimum_GSmagmom,0.0,0.0,135.5,136.0
comp_maximum_GSmagmom,0.041528673473197504,0.1438723520911788,50.0,11.5
comp_range_GSmagmom,0.01437737937453466,0.1438723520911788,71.0,11.5
comp_mean_GSmagmom,0.08675575781157428,0.20744873412570383,38.0,2.0
comp_avg_dev_GSmagmom,0.02181176298984443,0.19039401142532156,63.0,5.0
comp_mode_GSmagmom,0.0,0.0,135.5,136.0
comp_minimum_SpaceGroupNumber,0.005473171859138659,0.06744209775021423,88.0,67.0
comp_maximum_SpaceGroupNumber,0.11978798097218121,0.10497823198996367,29.0,36.0
comp_range_SpaceGroupNumber,0.06797718916525902,0.08292697995710373,44.0,49.0
comp_mean_SpaceGroupNumber,0.1895025345905749,0.054414341500969486,15.0,89.0
comp_avg_dev_SpaceGroupNumber,0.1535022193046067,0.1050625216268432,21.0,35.0
comp_mode_SpaceGroupNumber,0.031068147897448124,0.06288426119457272,55.0,70.0
soc_anion_Z_max,0.002285284881024879,0.060134895183510555,100.0,79.0
soc_anion_Z_mean,0.009053269529562468,0.03980460584796357,83.0,116.0
soc_anion_Z_wmean,0.004429119972462895,0.050628369739924836,93.0,95.0
soc_heavy_anion_frac,0.0006380471748032967,0.050853239490307414,107.0,94.0
sym_has_inversion,0.4732551412555645,0.21497031063331135,1.0,1.0
sym_cs_hexagonal,0.002060301052501206,0.09633126051990572,101.0,43.0
sym_cs_monoclinic,0.003983132170306482,0.14103864835502097,95.0,13.0
sym_cs_orthorhombic,2.1546232410423734e-05,0.05975139494124856,123.0,82.0
sym_cs_tetragonal,0.016671221081954495,0.13641811028074396,68.0,14.0
sym_cs_triclinic,7.859645261485772e-05,0.20416287193222643,122.0,3.0
sym_cs_trigonal,0.22736043671744782,0.10814982283896893,10.0,31.0
sym_mag_species_Z,0.4015482734267133,0.15892641926675968,5.0,7.0
