formula,qx,qy,sg,theta,phi,label4,label2,label_src,group_id,uid,uid_ambiguous,Qmin_raw,bandwidth,_merge
CrF2O,0.0,0.125,Pmmm,90.0,90.0,NC,non_collinear,Q-based,Pmmm|Cr,1CrOF2-1,False,"[0.0, 0.125, 0.0]",175.6827021700822,both
CrS2,0.0,0.0,P-4m2,0.0,0.0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrS2-3,False,"[0.0, 0.0, 0.0]",107.11348670603726,both
CrSe2,0.0,0.0,P-4m2,90.0,44.0,FM,collinear,Q=Gamma,P-4m2|Cr,1CrSe2-3,False,"[0.0, 0.0, 0.0]",240.0815854011178,both
CuLi2O2,0.0,0.5,C2/m,16.0,274.0,AFM_collinear,collinear,Table2,C2/m|Cu,1CuLi2O2-1,False,"[0.0, 0.5, 0.0]",26418.09607430225,both
CuVP2S6,0.0,0.0,C2,44.0,60.0,FM,collinear,Q=Gamma,C2|Cu-V,1CuVP2S6-1,False,"[0.0, 0.0, 0.0]",20.341719041191197,both
CuVP2Se6,0.0,0.0,C2,6.0,57.0,DM_SS,non_collinear,Table1,C2|Cu-V,1CuVP2Se6-1,False,"[0.0, 0.0, 0.0]",16.888908415388926,both
FeBr2,0.0,0.0,P-3m1,90.0,8.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeBr2-1,False,"[0.0, 0.0, 0.0]",78.81819794538991,both
FeBr2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeBr2-2,False,"[0.5, 0.5, 0.0]",18.55570228208947,both
FeBr2,0.0,0.0,P-6m2,90.0,180.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeBr2-3,False,"[0.0, 0.0, 0.0]",248.10259573981597,both
FeCl2,0.0,0.0,P-3m1,84.0,56.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeCl2-1,False,"[0.0, 0.0, 0.0]",107.82774503504555,both
FeCl2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeCl2-2,False,"[0.5, 0.5, 0.0]",15.49596015904875,both
FeCl2,0.0,0.0,P-6m2,0.0,0.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeCl2-3,False,"[0.0, 0.0, 0.0]",316.1164699657206,both
FeI2,0.0,0.0,P-3m1,90.0,0.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeI2-1,False,"[0.0, 0.0, 0.0]",34.625408308798455,both
FeI2,0.5,0.5,P-4m2,0.0,0.0,AFM_collinear,collinear,Table2,P-4m2|Fe,1FeI2-2,False,"[0.5, 0.5, 0.0]",36.70810227449195,both
FeI2,0.0,0.0,P-6m2,90.0,184.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeI2-3,False,"[0.0, 0.0, 0.0]",172.70579921782138,both
FeMgBr2O2,-0.35,0.68,Cm,58.0,266.0,NC,non_collinear,Q-based,Cm|Fe,1FeMgBr2O2-1,False,,,left_only
FeO2,0.0,0.0,P-3m1,90.0,270.0,FM,collinear,Q=Gamma,P-3m1|Fe,1FeO2-1,False,"[0.0, 0.0, 0.0]",28.084204806333446,both
FeO2,0.0,0.0,P-6m2,90.0,28.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeO2-3,False,"[0.0, 0.0, 0.0]",121.96858103621366,both
FeS2,0.0,0.0,P-6m2,90.0,0.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeS2-2,False,"[0.0, 0.0, 0.0]",85.83103663886149,both
FeTe2,0.0,0.0,P-6m2,90.0,60.0,FM,collinear,Q=Gamma,P-6m2|Fe,1FeTe2-2,False,"[0.0, 0.0, 0.0]",101.5256758766796,both
GaMnBr4Cl2,0.51,-0.49,P1,36.0,289.0,AFM_collinear,collinear,Table2,P1|Mn,1GaMnCl2Br4-1,False,,,left_only
GaMnCl2O2,0.5,0.0,Pm,90.0,94.0,AFM_collinear,collinear,Table2,Pm|Mn,1GaMnCl2O2-1,False,,,left_only
HfMnBr6,0.3333333333333333,0.3333333333333333,P312,2.0,120.0,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnBr6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",1.9062109930416682,both
HfMnCl6,0.3333333333333333,0.3333333333333333,P312,76.0,311.0,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnCl6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",1.186120587824746,both
HfMnI6,0.3333333333333333,0.3333333333333333,P312,0.0,0.0,NC,non_collinear,Q-based,P312|Hf-Mn,1HfMnI6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",3.10184306821526,both
HfNiBr6,0.0,0.0,P312,74.0,0.0,DM_SS,non_collinear,Table1,P312|Hf-Ni,1HfNiBr6-1,False,"[0.0, 0.0, 0.0]",2.9422288948666164,both
HfNiCl6,0.0,0.0,P312,8.0,187.0,FM,collinear,Q=Gamma,P312|Hf-Ni,1HfNiCl6-1,False,"[0.0, 0.0, 0.0]",1.9857724994167825,both
HfNiF6,0.3333333333333333,0.3333333333333333,P312,86.0,94.0,NC,non_collinear,Q-based,P312|Hf-Ni,1HfNiF6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",0.08883989531227598,both
HfNiI6,0.0,0.0,P312,90.0,18.0,DM_SS,non_collinear,Table1,P312|Hf-Ni,1HfNiI6-1,False,"[0.0, 0.0, 0.0]",4.924028761749355,both
HfPdBr6,0.05,0.05,P312,4.0,249.0,NC,non_collinear,Q-based,P312|Hf-Pd,1HfPdBr6-1,False,"[0.047619047619047616, 0.047619047619047616, 0.0]",2.853185460949703,both
HfPdCl6,0.0,0.0,P312,0.0,0.0,DM_SS,non_collinear,Table1,P312|Hf-Pd,1HfPdCl6-1,False,"[0.0, 0.0, 0.0]",1.649755092039129,both
HfPdF6,0.3333333333333333,0.3333333333333333,P312,0.0,0.0,NC,non_collinear,Q-based,P312|Hf-Pd,1HfPdF6-1,False,"[0.3333333333333333, 0.3333333333333333, 0.0]",0.06131328325409413,both
InMnBr6,0.49,-0.51,C2,2.0,60.0,AFM_collinear,collinear,Table2,C2|Mn,1InMnBr6-1,False,,,left_only
,,,,,,,,,,1KTiS2-1,,"[0.0, 0.0, 0.0]",0.7265259085968978,right_only
,,,,,,,,,,1LiPdP2S6-1,,"[0.047619047619047616, -0.09523809523809523, 0.0]",51128.522920293515,right_only
